2024-06-29 16:33:50.868 +08 | INFO     | Line   22 (utils.py): Creating new log file on 2024-06-29.16:33:50
2024-06-29 16:34:15.386 +08 | INFO     | Line  200 (Chat.py): Question : how many artists?
2024-06-29 16:34:15.386 +08 | INFO     | Line  201 (Chat.py): SQL Query : SELECT COUNT(a.artistid) FROM artist a;
2024-06-29 16:34:15.386 +08 | INFO     | Line  202 (Chat.py): Inference time used for sql generation: 8.670763969421387 seconds

2024-06-29 16:34:18.091 +08 | INFO     | Line  252 (Chat.py): SQL Results : [(275,)]
2024-06-29 16:34:18.092 +08 | INFO     | Line  253 (Chat.py): Human-Readable Response : There are 275 artists.
2024-06-29 16:34:18.092 +08 | INFO     | Line  254 (Chat.py): Inference time used for response generation: 1.4211790561676025 seconds

2024-06-29 16:34:34.806 +08 | INFO     | Line  200 (Chat.py): Question : how many customers?
2024-06-29 16:34:34.808 +08 | INFO     | Line  201 (Chat.py): SQL Query : SELECT COUNT(c.customerid) FROM customer c;
2024-06-29 16:34:34.809 +08 | INFO     | Line  202 (Chat.py): Inference time used for sql generation: 8.884793281555176 seconds

2024-06-29 16:34:54.831 +08 | INFO     | Line  200 (Chat.py): Question : how many customers?
2024-06-29 16:34:54.832 +08 | INFO     | Line  201 (Chat.py): SQL Query : SELECT COUNT(DISTINCT c.customerid) FROM customer c;
2024-06-29 16:34:54.833 +08 | INFO     | Line  202 (Chat.py): Inference time used for sql generation: 10.436641216278076 seconds

2024-06-29 16:35:05.963 +08 | INFO     | Line  156 (Model_Settings.py): Changing model prompts...
